NOM_POBLAD,hosp_in_10km
PUEBLO NUEVO,0
NUEVO BELLAVISTA,0
MARISCAL CASTILLA,0
NUEVO EGIPTO,0
NUEVO EDEN,0
PROGRESO,0
SAN CARLOS,0
SAN JUAN DE AMAQUIRIA,0
AMAQUIRIA,0
TUMBES,0
HOLANDA,0
SAN MIGUEL,0
SAN ROQUE,0
SANTA MARIA,0
TRES UNIDOS,0
9 DE OCTUBRE,0
TRES HERMANOS,0
SANTA ROSA,0
FRAY MARTIN PISQUI,0
OBISPO IRAZOLA,0
PUERTO PRADO,0
JERUSALEN,0
VENCEDOR,0
PALESTINA,0
GILGAL,0
TUPAC AMARU,0
CHARASMANA,0
NUEVO AÑAMPA,0
ARCO IRIS,0
MANCO CAPAC,0
LA CUMBRE,0
EDEN,0
TIRUNTAN,0
ROABOYA,0
PAHOYHAN,0
NUEVO GALILEO,0
CUNSHAMAY,0
SANTA ANA,0
ROABOYA NATIVA,0
PAOCOCHA,0
SHARAMASHO,0
PORVENIR,0
SAN JERONIMO,0
SAN JOSE DE VINUYA,0
SANTA LUCITA,0
ALFONSO UGARTE,0
NUEVO SAN MARTIN,0
SAN ANTONIO,0
SAN FRANCISCO,0
PUEBLO LIBRE,0
NUEVO LORETO,0
NUEVO BELLAVISTA,0
SANTA ROSA DE CASHIBOYA,0
SAN PABLO,0
SAN PABLO VIEJO,0
SAN PABLO,0
SAN MARTIN,0
SAN ANTONNIO,0
SHUYAL,0
NUEVO SAN JERONIMO,0
LORETO,0
TINTIPOYA,0
ZANCUDO,0
CUSHUSHCAYA,0
GILBOA,0
SAN MARTIN,0
YAPATIA,0
HECTOR,0
CARACHUPA,0
SANTA MARTA,0
DOS UNIDOS,0
ESPERANZA,0
SAN PEDRO,0
SHIHUARCO,0
SHANAILLO VIEJO,0
OLAYA,0
INSTITUTO LINGUÍSTICO,0
SHEPANYA,0
VENCEDOR,0
BASE MAQUÍA,0
SUCRE,0
AARON,0
TULUMAYO,0
YARINA,0
PACAYA,0
ANA MARÍA,0
CONTAMANA,0
PERLA DEL UCAYALI,0
NUEVO OLAYA,0
SHANAILLO,0
ALAN GARCIA,0
SAN ANTONIO AGUAS CALIENTES,0
SAN FRANCISCO,0
MILAGRITOS,0
SAN MIGUEL AGUAS CALIENTES,0
SAN MARCOS,0
PACASMAYO,0
SAN MARTÍN,0
SUAYA,0
SAN SALVADOR,0
NUEVO PROGRESO,0
BETANIA,0
GOLONDRINA DE SUAYA,0
NUEVO PARAISO,0
NUEVO SAN JUAN,0
LIBERTAD,0
NUEVO BELEN,0
BELLAVISTA,0
SAN PEDRO,0
LOURDES CHIATIPISHCA,0
CANAAN DE CHIATIPISHCA,0
CANAAN,0
NUEVO AARON,0
SAN MARTIN CHIATIPISHCA,0
PUERTO ORIENTE,0
NUEVA ALIANZA,0
NUEVO SUCRE,0
LA UNION,0
SANTA ROSA,0
TENIENTE CORNEJO PORTUGAL,0
SAN JUAN CHIATIPISHCA,0
SAN PABLO DE SINUYA,0
SAN JOSE,0
SANTA CLARA,0
NUEVO SAN JOSE,0
LIBERTADOR,0
JULIO C. ARANA,0
CASHIBOYA,0
INAHUAYA,0
SAN JOSE,0
JOSE OLAYA,0
SANTA ROSA,0
IPUANO,0
PAMPA HERMOSA,0
PERILLO,0
LOS OLIVOS,0
CANELOS,0
SETURIA,0
VARGAS GUERRA,0
PACASHANAYA,0
PUERTO NUEVO,0
LIBERTAD,0
ISULAYO,0
BELAUNDE,0
ALAN,0
SAN MARTIN,0
NUEVO PUERTO ADELINA,0
PUERTO ESPERANZA,0
SAN PEDRO,0
SUPAY,0
FATIMA,0
LIMON COCHA,0
NUEVA ESPERANZA,0
MAYPUCO,0
SANTA CLARA,0
PUESTO LIMA,0
SAN ANTONIO DE FORTALEZA,0
LETICIA,0
MIRAFLORES,0
BELLAVISTA,0
JUNIN,0
PUERTO VENUS,0
VICTOR RAUL,0
AYPENA,0
SAN CRISTOBAL,0
NUEVA LUZ DEL ORIENTE,0
TIERRA BLANCA,0
SAN JUAN,0
ALEGRE,0
YAHUARANGO,0
RAMON CASTILLA,0
PUERTO PROVIDENCIA,0
CAPIRONILLO,0
MIGUEL GRAU,0
BUENOS AIRES,0
BOCA DE SANTA CATALINA,0
NUEVO BAGAZAN,0
CONTA,0
SAN LORENZO,0
PUEBLO LIBRE,0
ALFA Y OMEGA,0
REINO UNIDO,0
SARAYACU,0
SANTA CATALINA,0
CANTA GALLO,0
ORELLANA,0
HERMANOS,0
DANIEL ALCIDES CARRION,0
HUAMANTULLO,0
PUERTO ALEGRE,0
VICTOR ANDRES BELAUNDE,0
CAHUIDE,0
FLORENCIA,0
SAN JUAN,0
ALFONSO UGARTE,0
SAN JOSE DE INSAYA,0
NUEVO DORADO,0
ISLA BAÑOS,0
NUEVO SHETEVO,0
GARZA CAÑO,0
NUEVO CANCHAHUAYA,0
MAQUIA,0
BAGAZAN,0
NUEVO HUAMANTULIO,0
NUEVA FLORENCIA,0
MISHITO,0
SAN FRANCISCO,0
SHETEBO,0
BAÑOS,0
CATAHUAYO,0
CEILAN,0
CANCHAHUAYA,0
CAPANAHUA,0
EUFRACIO,0
TABALOSOS,0
FRANCIA,0
CONTAMANA,0
SAN LUCAS,0
CONSTITUCION,0
QUINAYOC,0
INDEPENDENCIA,0
SANTO TOMAS,0
LAS AMAZONAS,0
SAN RAFAEL II,0
ROCA FUERTE,0
SAN JUAN DE PAMPLONA,0
VILLA HERMOSA,0
PALMERAS,0
SANTA CLARA,0
PUERTO PERU,0
NUEVA BARRANQUITA,0
COTO YACU,0
NUEVA ALIANZA,0
SAN FRANCISCO DE PAMPAYACU,0
NUEVO PIJUAYAL,0
JORGE CHAVEZ,0
GRAU,0
NUEVO SAN MARTIN II,0
CHARAPILLO,0
MUSHMUQUI (NUEVO PROGRESO),0
SHUCUSHUYACU,0
SAN PEDRO DE MAYRUJAY,0
PUCUNILLO,0
SONAPI,0
MERCEDES,0
NUEVO CANAAN,0
NUEVO BARRANQUITA,0
YASECA,0
SAN MIGUEL DE SONAPI,0
PAZTIZAL,0
SAN JOAQUIN,0
JORGE CHAVEZ,0
NUEVO PAPAPLAYA,0
SAN EUGENIO,0
NUEVO TRIUNFO,0
PARINARI,0
NUEVO ORIENTE,0
NUEVO AREQUIPA,0
PUERTO PROGRESO,0
EL TIGRE,0
SAN JOSE VARADERO,0
SANTA ELENA,0
MORALES BERMUDES,0
CANCHALAHUA,0
HUICUNGO,0
YARINA FRONTERA,0
PACASMAYO,0
MONTE ALEGRE,0
SANTA LUCIA,0
SAN JUAN DE CUMACEVA,0
MONTEVIDEO,0
NUEVO CELENDIN,0
TRECE DE MAYO,0
BUENAVISTA,0
RAYO,0
ALEGRIA DE VIVIR,0
MORRO DE ARICA,0
ARICA,0
CURINGA,0
LOBO,0
CAPANAHUA,0
DOS DE MAYO,0
PEDRERA,0
JUANCITO,0
TRES UNIDOS,0
NUEVO ORIENTE,0
SOLEDAD,0
SAN JUAN,0
NUEVO CENTRAL,0
FRANCISCO BOLOGNESI,0
FUNDO PADILLA,0
PUCAPANGA,0
CHICLAYO,0
PAYNACO,0
SAN JOSE,0
NUEVO BERLIN,0
SELVA ALEGRE,0
SANTA LUCIA,0
TRECE DE ENERO,0
CHORRILLOS,0
TIWINZA,0
VISTA ALEGRE,0
MORALES,0
SAMAN,0
MONTEBELLO,0
NUEVA YORK,0
AGUAS VERDES,0
CAJAMARCA,0
SANTOA,0
SANTA ROSITA,0
NUEVA DELICIA,0
MAHUIZO,0
SAN CRISTOBAL,0
NUEVO DOS DE MAYO,0
CAROLINA,0
BONAPARTE,0
SANTA ROSA,0
SELVA ALEGRE,0
CHUYA,0
SAN RAFAEL,0
MOENA,0
AFRICA,0
LISBOA,0
BOCA YANAYACU,0
SHICSHI,0
PALOSECO,0
CHONTA,0
FRONTERA,0
BOCA SUNGARO,0
BUNCUYA,0
TAFUR,0
PALMERA,0
PUERTO RICO,0
SANTA ROSA,0
NUEVA ALEJANDRIA,0
SANTA LUCIA,0
MONOPOLIO,0
TUMBO,0
LONTANANZA,0
LA POZA,0
YURIMAGUAS,0
LAS MALVINAS,0
ANGAMOS,0
